,sentence_id,words,labels
9260,17501,khipuspa,v
9984,18225,paraptinpas,v
15293,23534,killapim,s
1275,9472,hawapi.,adv.
2549,10764,qaramuwananta,v
14414,22655,sanawritapas,s
5232,13464,mikhullanchik.,v
14443,22684,q'apikuwaq»,v
1898,10104,taytachatahinaña,s
6659,14900,pachapiqa,s
4539,12762,yachanku,v
12347,20588,kallantaqmi.,v
4018,12241,Kunan,adv.
3317,11535,chakraqa,s
9030,17271,kawsanchik.,v
2533,10748,pasñakunata,s
3717,11938,yakutam,s
335,8526,kan?,v
2700,10915,timputiyamun.,v
6088,14329,chirimanta,s
10682,18923,maki,s
4627,12850,wilkachuqawanmi,s
12657,20898,ruru,s
5100,13327,"kasqaku,",v
8743,16984,kancha,s
7618,15859,apukunaman,s
2334,10543,Ñutu,adj.
6199,14440,kapusqa.,v
11020,19261,masachakun.,v
1710,9915,lliwqata,s
7459,15700,phiñakuq,adj.
13343,21584,phichusqaqa,s
12302,20543,Chayraykum,conj.
9425,17666,mana,adv.
4565,12788,kuyuchispallam,v
15206,23447,chayamuchkaptinsi,v
14501,22742,"wayk'unku,",v
999,9193,kachukusun.,v
3830,12052,nanan.,v
10851,19092,atipaq,v
8088,16329,watana,s
9339,17580,"aparqun,",v
12402,20643,kinuwa,s
4261,12484,Puka,adj.
1442,9647,allarquy.,v
1110,9304,Mulapa,s
4536,12759,Achka,adj.
13406,21647,Achka,adj.
11816,20057,rinrintari?,s
3465,11685,rutunqaku.,v
12247,20488,lawachaqa,s
6818,15059,kuti,s
3160,11376,siqay.,v
8585,16826,chukchanqa,s
10664,18905,chayraykutaq,conj.
7167,15408,"taytáy,",s
4394,12617,Pusullu,s
4774,12998,Llapa,adj.
6439,14680,chayamullanqapunim,v
4806,13030,mamanchikta,s
1794,9999,llaqllaykuy.,v
3299,11517,quyllurhinam,s
955,9149,Chuya,adj.
2356,10565,Pakisqa,adj.
3041,11257,wiñanmi.,v
3016,11232,kirusiniwan,s
15489,23730,qhuru,adj.
10594,18835,qaqa,s
14045,22286,nispa.,v
13708,21949,pinkullukunata,s
4715,12938,wakchakunatam,adj.
3231,11448,Rumipi,s
451,8644,awqanmi.,v
10072,18313,sunqu,s
6291,14532,Taytachanchik,s
13588,21829,pichitankataqa,s
4871,13095,yumarqunku.,v
14380,22621,Walter,s
30,27346,Ñuqataq,pron.
3049,11265,machan.,v
7448,15689,hawirqukuy.,v
4529,12752,aysakachanam,v
11895,20136,"qallarin,",v
14751,22992,achka,adj.
2742,10957,Wawapa,s
14043,22284,«q'iyam,s
4821,13045,allinta,adj.
6029,14270,ch'irwarquspa,v
2344,10553,¡Llumpaytam,adj.
15294,23535,K'ana,s
4378,12601,mikukun.,v
8139,16380,ichhumantapas,s
3402,11621,Wawachakuna,s
15408,23649,allinchu,adv.
3963,12186,Uywapa,s
5573,13814,q'ipin.,v
4207,12430,uru,s
14598,18403,Ñuqanchikqa,pron.
2820,11036,kapkachu.,adj.
7769,16010,wawakunataqa,s
3625,11845,sisanta,s
2085,10292,Amahina,s
92,8278,Ama,adv.
5538,13777,irqichakunaqa,s
13719,21960,tusun.,v
1605,9810,yachachisqayki.,v
4561,12784,warawan,s
15050,23291,Chay,adj.
9950,18191,hampiwanchik.,v
13071,21312,yapamanta,adv.
3770,11991,sutinqa,s
13265,21506,Llaqta,s
8265,16506,mantikilla,s
10185,18426,llaqwakuspa,v
15421,23662,phawaqsi,adv.
4781,13005,yachan.,v
9714,14612,Ñuqaqa,pron.
13643,21884,wañuqninchikta,adj.
8385,16626,Pisi,det.
8586,16827,k'upa.,adj.
4773,12997,hamunku.,v
1490,9695,rurachkani.,v
2111,10318,Punchuypa,s
10183,18424,alliyachin.,v
2195,10402,muntirantam,s
14232,22473,ña,adv.
9052,17293,"kikillanmi,",s
7531,15772,sara,s
13444,21685,"Tito,",s
6728,14969,Wawaqa,s
5500,13737,aqsuyuqmi,s
3984,12207,wasiman,s
10399,18640,nispa.,v
345,8536,kawsaynin,s
7385,15626,maqanaykukunku.,v
7993,16234,rutunchik.,v
3204,11420,qawasqam,s
11228,19469,Uwihata,s
11521,19762,wiñapupaq,s
9951,18192,Liqi,s
10828,19069,pisirquspaqa,v
5941,14182,tarpusqanchikqa,v
13849,22090,p'itispa,adv.
13208,21449,chaytaqa,adv.
14972,23213,chay,adj.
9364,17605,wawa,s
10266,18507,Ñawi,s
867,9061,qallaykamun.,v
15031,23272,Chay,adj.
11270,19511,millakun.,v
11890,20131,kanman?,v
14435,22676,karumantaraq,adj.
5628,13869,yachaysapataq,adj.
7179,15420,aswan,adv.
9003,17244,añasqa,s
2557,10772,Wak,adj.
5068,13295,Tayta,s
4705,12928,Uywapa,s
9683,17924,tukukuq,adj.
15054,23295,qataykuy.,v
10318,18559,"pukawan,",s
7406,15647,killa,s
10765,19006,Tayta,s
6065,14306,qhari,s
7396,15637,k'ulluntaq,s
8863,17104,suwata,s
13627,21868,ayunaspi,s
6853,15094,hap'in.,v
13640,21881,killapiqa,s
8686,16927,Sapan,det.
8429,13559,¿imallamantataq,pron.
7320,15561,Ukhunchik,s
12612,20853,llaqta,s
2019,10226,manam,adv.
13556,21797,ima,adj.
13005,21246,chunka,adj.
10787,19028,kutichipusqayki!,v
12013,20254,Wayramanta,s
773,8967,Sara,s
15057,23298,Runatataq,s
108,8294,akchiwanmi,s
7000,15241,Jesucristoqa,s
7714,15955,puqusqawansi,s
9487,17728,kamayuq,s
267,8457,Wak,det.
9371,17612,Paquchaqa,s
7723,15964,akasqan,v
13537,21778,tiyana,s
8597,16838,K'usi,s
9217,17458,mikhuyta,v
5794,14035,kusikuyña,s
2659,10874,¡Puchkata,s
14137,22378,punkinankama,adj.
13783,22024,pisillam,adv.
9776,18017,ancha,adv.
15415,18610,chaytam,pron.
8869,17110,Chay,det.
6630,14871,chhapchirqamuy.,v
4901,13125,Ilaqtakunapi.,s
12678,20919,wayq'ukunapipas,s
7884,16125,"Wawakuna,",s
1321,9518,pakirqukusqa.,v
13622,21863,qurataqa,s
3644,11864,tarpurqun.,v
994,9188,hanlakuntaqa,s
71,8257,uchuchata,s
8749,16990,wanuwanmi,s
6469,14710,maqaqsi.,v
11598,19839,Chay,det.
10241,18482,urmaspa,v
4359,12582,sintachina,s
7476,15717,allayta,s
425,8617,atiy,v
1092,9286,mikuyqa,s
14810,23051,lastiku,s
4695,12918,Michka,s
6114,14355,kawallutaqa,s
1748,9953,Iluqsiyta,v
9877,18118,"puriykachanachu,",v
4799,13023,aqachata,s
11467,19708,mitk'aspa,v
3498,11718,ama,adv.
11527,19768,muchi,s
4685,12908,sutumuyta,v
2614,10829,Wak,adj.
14249,22490,ña,adv.
8812,17053,qañiwatapas,s
5506,13743,aqsuta,s
264,8454,puriqkuna,s
7322,15563,sillunchikwan,s
5839,14080,Ch'aquqa,s
10366,18607,kan,v
13968,22209,Ñawpaqqa,adj.
14011,22252,yupaychana,s
4877,13101,yumaynin,s
13246,21487,unuqa,s
6548,14789,wawaqa,s
7551,15792,hayt'ana,s
4888,13112,Kimsa,num
6648,14889,pachapiqa,s
10373,18614,nispa.,v
5965,14206,kawsan.,v
6070,14311,huk,det.
12399,20640,Wirnis,s
11504,19745,Yaku,s
13378,21619,killapiqa,s
4960,13186,Kursus,s
9306,17547,muhuta,s
13873,22114,kimsa,adj.
7800,16041,nispa,v
5711,13952,masichaykimantaqa,s
5862,14103,ch'arkitaqa,s
84,8270,tunasta,s
13437,21678,phukuspa,adj.
15285,23526,aysaykuwanchik.,v
148,31121,Paykunaqa,pron.
14503,22744,kachiyuqtaqa,s
682,8876,mikuyta,s
3793,12015,karqa.,v
1135,9329,huchakunchikmi.,v
9332,17573,kichkayuq,s
7035,15276,¡Hakuchu,v
8766,17007,cecinakuchun»,v
11395,19636,chayraykum,conj.
9911,18152,Iskutaqa,s
5641,13882,karqanku.,v
5889,14130,ch'aska,s
5447,13683,kullipas,adj.
5640,13881,kallpasapataq,adj.
8244,16485,wiñan.,v
6801,15042,atillanchikmi.,v
5576,13817,chupichaqa,s
290,8480,kullipas,adj.
2092,10299,saksarquspaqa,v
4700,12923,sunqunpipas,s
8514,16755,uyam,s
12319,20560,runakunaqa,s
8413,16654,huk,det.
9849,18090,«Lakawiti,s
2727,10942,uya.,s
9330,17571,millay,adj.
3134,11350,aqata,s
8431,16672,k'intukuyqa,s
8074,16315,ari,adv.
7567,15808,Allqutaqa,s
1550,9755,Tarpunapaq,v
7786,16027,"kimsa,",s
1193,9390,Pacha,s
8375,16616,ichhu,s
5297,13529,ancha,adj.
5849,14090,Ch'aquqa,s
14445,22686,qhatuqkunaqa,s
3702,11923,qipispam,v
9026,17267,uywakunapas,s
369,8560,asinchikmi.,v
2348,10557,Pachak,num
9241,17482,karqanku.,v
12641,20882,q'ipin,adj.
552,8746,Kuchiykita,s
7208,15449,ukhu,s
5842,14083,ch'unchullninchikpi,s
3745,11966,suwan.,v
5260,13492,amaru,s
8141,16382,tuqurun,s
7840,16081,huk,det.
10056,18297,nispa,v
5453,13689,rikch'akuq,adj.
7392,15633,sunqu,s
3641,11861,Achkatam,adj.
2066,10273,matipi,s
10892,19133,q'illay,s
13209,21450,pullira,s
9650,17891,Chay,det.
12602,20843,Suwaqa,s
7971,16212,"tiyan,",v
6563,14804,ch'unchullniyuq,s
7752,15993,mana,adv.
10834,19075,Map'a,adj.
14290,22531,kikin,adj.
4754,12978,wisqaqa,s
4840,13064,chakraman,s
5913,14154,waskhatam,s
14382,22623,pusawarqan.,v
12697,20938,qharita,s
10209,18450,llasaq,adj.
1339,9538,kallchaypim,v
4055,12278,mikunapaq.,v
7372,15613,Hatunkaq,adj.
2173,10380,rikurirqusqa.,v
1979,10186,yanapanam.,v
12148,20389,"papaqa,",s
14381,22622,yachachiq,s
2702,10917,pulliranta,s
176,8362,Anacha,s
8622,16863,misk'itaraq,adv.
10932,17290,Kaypas,pron.
4298,12521,runa,s
6767,15008,Ch'uñutaqa,s
7601,15842,wasi,s
12651,20892,wawankuta,s
7094,15335,mayllasqa,adj.
3962,12185,rurasqam.,v
7442,15683,hawirqukuy.,v
1706,9911,mikumuni.,v
6370,14611,kani.,v
3428,11648,runtunku.,v
881,9075,Chuqlluta,s
4079,12302,ullatuqa,s
5529,13768,¿hamunkichu?,v
406,8598,astanku.,v
7489,15730,sara,s
12299,20540,ñutqhunmantapas,s
4053,12276,kutay,v
5878,14119,kamchayuqta,s
3035,11251,iskayllañam.,num
11156,19397,allin,adj.
11906,20147,kuchunawan,s
15320,23561,ch'isin,adv.
6147,14388,rurasqaqa,v
8317,16558,hatun,adj.
4138,12361,uñan,s
3155,11371,siqay.,v
8937,17178,"chayan,",v
13839,22080,pataraspa,adj.
8261,16502,pisqu.,s
13231,21472,Chayqa,adv.
2634,10849,rumiwan,s
13533,21774,unquypas,s
9162,17403,Khallwa,s
11160,19401,runakunaqa,s
12521,20762,ukhu,adj.
11915,20156,much'unpi,s
13580,21821,kimsa,adj.
14060,22301,wañurqapusqas.,v
5611,13852,hap'ina.,v
5795,14036,"kaptinpas,",v
3751,11972,suyapakuni.,v
8993,17234,pisi,adj.
12422,20663,kuntur,s
46,30454,ñuqataq,pron.
4015,12238,imayna,adv.
4980,13206,Ñan,s
3925,12147,wañuchinankupaq,v
0,21409,"ñuqachu,",pron.
1040,9234,tuta,s
5865,14106,hankullata,s
12236,20477,nin.,v
2999,11215,Ayakkuchuman,s
5646,13887,awqanqa.,s
9615,17856,kay,v
7851,16092,kanchaqa,s
4169,12392,uqi,adj.
6639,14880,unquytaqa,s
10965,19206,wiñan.,v
15091,23332,Qaynaña,adv.
2340,10549,pachata!,s
2585,10800,suqurquwan.,v
9143,17384,khakurikun.,v
2104,10311,millpun.,v
2784,11000,putka,adj.
5898,14139,aypanman.,v
3411,11630,rumikunata,s
10600,18841,pisiyachin.,v
9402,17643,añasmantapas,s
13452,21693,chaymi,adv.
9912,18153,«q'atawi»,s
6761,15002,rimaytapuni,s
11444,19685,mismispallapuni,v
6813,15054,phawaq,s
5322,13554,sumaq,adj.
299,8489,Sunchu,s
944,9138,Chusiq,s
11195,19436,Allquqa,s
4662,12885,warmicham,s
4085,12308,pikantita,s
9745,17986,qhipa,adj.
7837,16078,kanchaqa,s
8565,16806,k'umuchillaqpuni,adj.
8709,16950,Arikipa,s
10226,18467,llawsa,adj.
6578,14819,Chhaku,adj.
9157,17398,huk,det.
13299,21540,hap'irquspa,adv.
6268,14509,nanaypas,s
4428,12651,tarikun.,v
2966,11182,Runakuna,s
11666,19907,wawachaykiqa,s
13044,21285,yuraq,adj.
381,8572,Chay,det.
4578,12801,Ñawpa,adj.
13291,21532,t'impuchisqaku,v
1545,9750,Kiswartaña,s
8004,16245,qasasqa,adj.
190,8376,amatakuy.,v
3944,12167,qurillamantam.,s
12664,20905,qiwallas,s
10442,18683,hawch'a,adj.
14469,22710,Papa,s
9233,17474,chay,det.
8268,16509,K'allanaqa,s
9127,17368,qamusqa.,v
7032,15273,chuwapi,s
28,27335,Ñuqataq,pron.
12686,20927,Ima,adj.
13110,21351,qhatakunapi,s
11836,20077,tariparqun.,v
163,8349,pakikurqusqam.,v
279,8469,allpa,s
12919,21160,hampi.,s
10191,18432,alliyachin.,v
11549,19790,muchuy,s
13852,22093,isqunniyuq,adj.
9443,17684,kuwahuwan,s
806,9000,chukchantam,s
9032,17273,uywakunapas,s
11937,20178,rin?,v
13711,21952,tusun.,v
2267,10476,risaqmi!,v
8665,16906,mana,adv.
12907,21148,"atinchik,",v
10457,18698,runakunaqa,s
2489,10703,aychatam,s
9465,17706,qhunanku.,v
997,9191,wañuchina.,v
1950,10156,puñurqani.,v
10096,18337,mankachakunatapas,s
7240,15481,akullin.,v
7759,16000,«muuuu»,interj.
192,31147,Paykunaqa,pron.
2747,10962,puqun.,v
10750,18991,marq'aripuway!,v
10584,18825,sutiyuq,s
8717,16958,ch'akinanpaqpas,v
4032,12255,tuytun.,v
10107,18348,Huk'uchataqa,s
8110,16351,chakrakunata,s
9881,18122,manam,adv.
3566,11786,Misipahinam,s
2854,11070,anka,s
9656,17897,uhu,s
3147,11363,qispichiqmi,s
2905,11121,Mikunankupaq,v
11864,20105,muyutawan,s
10015,18256,hisp'akunpas,v
2116,10323,taqsay,s
12736,20977,huk,adj.
12151,20392,kaqtaq,conj.
3821,12043,Takiqta,s
8217,16458,tiyaykusqa.,v
13108,21349,inkakunaqa,s
12813,21054,Qhini,adj.
2262,10471,maykamapas,adv.
7558,15799,pukllaqku.,v
11585,19826,aqhapaq,s
4402,12625,allintam,adj.
10757,18998,p'unchawninta,s
6379,14620,p'unchawninpiqa,s
3999,12222,watayuqñam.,s
3271,11489,Qari,s
11706,19947,muraya,s
4322,12545,ruranku.,v
9758,17999,Chaninpi,s
6571,14812,asnuman,s
2118,10325,hakuchik.,v
1369,9572,uyarispaqa,v
13443,21684,chakunku.,v
12573,20814,anqas,adj.
12189,20430,k'anchankiri?,v
12047,20288,kachun»,v
10153,18394,Perú,s
1514,9719,Kiriy,s
8613,16854,k'utuwan.,v
12156,20397,"papaqa,",s
12761,21002,inkapa,s
1866,10071,lliwqata,s
8480,16721,wawakunaqa,s
13896,22137,pichqa,adj.
4952,13178,kururuni.,v
6798,15039,watan,v
14800,23041,wata,s
4887,13111,illanku.,v
15150,23391,wirawan,s
2770,10985,Kamchasqa,s
10703,18944,q'aymapas,adj.
8603,16844,wawakunapa,s
5532,13771,Armakuspaqa,v
55,8241,achalasun.,v
12316,20557,ancha,adv.
7725,15966,unu,s
15235,23476,"kasqa,",v
6295,14536,Chakmay,v
5073,13300,mikhusqanmantam,s
3655,11875,sukata,s
6882,15123,ayataqa,s
1187,9384,waqamun.,v
12162,20403,Ñawsakunapa,s
7407,15648,qallariytam,s
5061,13288,runtutapas,s
7033,15274,mikhuytapas,s
4372,12595,Sasa,adj.
7317,15558,lichiyuq,s
15130,23371,"llamk'ayninwan,",v
1566,9771,kuchpaykuy,v
2810,11026,Mamaypa,s
5054,13281,puñusqa.,v
5204,13436,kawsan.,adj.
12328,20569,rirpuqa,s
7469,15710,yachay_wasiman,S
2552,10767,pataray.,v
5333,13569,anchuchiy,v
1491,9696,Killinchu,s
11757,19998,misita,s
12567,20808,rumi,s
7286,15527,"p'unchawnin,",s
13538,21779,wasinchiktapas,s
6474,14715,Paquchanchikmi,s
7604,15845,Mikhuyta,s
7230,15471,ukhunchiktaqa,s
5614,13855,atuqhina,s
5109,13337,rurayllatachu,v
3497,11717,samay,v
4743,12967,Wiskachapa,s
13569,21810,p'unchawmanta,s
4403,12626,sara,s
1933,10139,ismurqusqa.,v
13279,21520,tukuy,adj.
13104,21345,chikchipas,s
12890,21131,hamusaq;,v
1904,10110,Sumaqllata,adj.
5801,14042,ch'allarikuyku.,v
1956,10162,puñurqani.,v
10263,18504,yuyaynin,s
15351,23592,kuti,s
14532,22773,ninchik.,v
11509,19750,aruwanpi,s
10599,18840,kawsaynintam,s
9705,17946,hunt'asqa,adj.
13809,22050,«pisqu»,s
9588,17829,kunkamanta,s
3990,12213,Chinapa,s
11053,19294,Khullu,s
3109,11325,wiñan.,v
5666,13907,waqaspam,v
5565,13806,manam,adv.
9900,18141,Pusaq,det.
2529,10744,paskay!,v
13118,21359,patapi,s
8124,16365,wasiman,s
6852,15093,unquy,s
8959,17200,Hawa,adj.
5765,14006,aypawan;,v
10216,18457,paquchayuqmi,s
34,28136,ñuqataqa,pron.
6340,14581,qhari,s
8342,16583,k'arakun.,v
6874,15115,chaypis,adv.
8829,17070,kañay.,v
9053,17294,llapanpas,s
1226,9423,nuyukuntaqmi.,v
9527,17768,Kulli,adj.
712,8906,wakayta,s
7659,15900,atuqqa,s
9718,17959,kay,det.
892,9086,allqum,s
14336,22577,punta,s
13114,21355,papatapas,s
11108,19349,watapi,s
5130,13360,"risunchik,",v
4409,12632,qispin.,v
15311,23552,hampikuy,v
6560,14801,chayruqa,s
4581,12804,wayitamantam,s
7833,16074,chayqa,conj.
7270,15511,yarawinku.,v
3567,11787,pisqukunapa,s
5583,13824,wak,det.
5777,14018,kusikuyña,s
9421,17662,mikhuykuna,s
12571,20812,sulis,s
6099,14340,kirpaykuspa,v
9079,17320,ñawpaq,adv.
6398,14639,qarachi,s
12361,20602,P'asñakunaqa,s
10049,18290,p'acha,s
9739,17980,runakunaqa,s
15377,23618,"tarikun,",v
347,8538,qawakusun.,v
10386,18627,nispa.,v
8759,17000,kanku.,v
15155,23396,chakman,v
4924,13148,chukchan,s
12155,20396,tarpusqa,adj.
1062,9256,¡Huk,det.
15310,23551,Mana,adv.
13260,21501,"wayk'unku,",v
548,8742,kachkan.,v
14101,22342,mana,adv.
493,8687,unkunawan,s
9221,17462,"rurana,",v
2082,10289,Kananmi,adv.
6386,14627,quwi,s
2166,10373,allqukunaman,s
4290,12513,kaspayki,v
2281,10490,ñawchiy!,v
2228,10437,Wanukunata,s
3338,11556,Qarachaqa,s
12835,21076,rurukunamantas,s
2165,10372,Puriq,adj.
11668,19909,yana,adj.
10496,18737,iskay,s
14775,23016,"hamun,",v
6259,9555,Pay,pron.
3010,11226,tasnumunanpaq,v
5762,14003,wayrapipas,s
5799,14040,qatin,v
9943,18184,yanqallamanta,adv.
12866,21107,mut'ita,adj.
2559,10774,qumiryarinanpaq,v
8340,16581,ñawiqa,s
2906,11122,qarakamuy.,v
11314,19555,uywakunapas,s
7781,16022,yupanchik.,v
5033,13259,ruphaykuwananpaqqa,v
7001,15242,manas,adv.
363,8554,kawsayta,s
385,8576,Asnaq,adj.
9257,17498,kukankuta,s
13075,21316,siranki.,v
1500,9705,chinkaykun.,v
9902,18143,wawaqa,s
2277,10486,wasi,s
14431,22672,hamk'asqapas,adj.
8832,17073,mankatapas,s
978,9172,runataqa,s
5596,13837,atiparquykim.,v
10375,18616,qaqa,s
3888,12110,Pulluykita,s
343,8534,Kuchupi,adv.
6363,14604,chakrayuqmi,s
1156,9351,Mincham,adv.
10926,19167,ninku.,v
2675,10890,¿maytataq,pron.interrog.
2197,10404,Asnumanta,s
7232,15473,muyuchinchikpas.,v
4041,12264,tuytun.,v
11219,19460,runakunataqa,s
3666,11886,hallmanachu.,v
12121,20362,k'uychitapas,s
4989,13215,chayasqa.,v
1788,9993,Ilapirqun.,v
7520,15761,sara,s
2824,11040,miski,adj.
10747,18988,"kaychu,",v
7227,15468,muqunchikkunapi,s
4593,12816,Wakayqa,s
1908,10114,kaspimantam,s
14409,22650,rutunchik.,v
13905,22146,chuwitaq,s
13242,21483,ari,adv.
10753,18994,chunka,det.
8068,16309,kasqa.,v
6000,14241,runakunaqa,s
183,8369,wañuchiq,s
4983,13209,sansapa,s
14808,23049,kachipas,s
14780,23021,Iskaynin,adj.
9482,17723,allin,adj.
11692,19933,machu,adj.
11392,19633,rin.,v
6594,14835,mankataqa,s
7065,15306,"qañiwamantapas,",s
14358,22599,kikinpi,adj.
12614,20855,hatun,adj.
571,8765,Wawaypaqmi,s
1635,9840,kurpan.,v
5686,13927,aynillapi,s
9112,17353,sirasqam.,adj.
2961,11177,qawanki.,v
