,index,Unnamed: 0,sentence_id,words,labels
109,109,11744,19985,unquy wan,s
110,110,2140,10347,Misi qa,s
111,111,14335,22576,tawa yuq,adj.
112,112,12448,20689,kawa lluta pas,s
113,113,13990,22231,kay,adj.
114,114,2830,11046,Chupi qa,s
115,115,5918,14159,q 'apiyni yuq,adj.
116,116,14770,23011,ukhu man,adj.
117,117,2719,10934,Ilamkaq,s
118,118,7144,15385,Hampikuq,s
119,119,12227,20468,allin.,adj.
120,120,2673,10888,puka,adj.
121,121,9183,17424,Uwiha,s
122,122,12747,20988,masi ntin,adj.
123,123,5302,13534,¡Alli puni,adj.
124,124,2639,10854,Pisillatam,adj.
125,125,9929,18170,maña kuspa,v
126,126,10197,18438,pisilla,det.
127,127,2240,10449,nanaywan mi,s
128,128,12076,20317,"ay sana,",v
129,129,14728,22969,qañiwa,s
130,130,489,8683,aysakuchkan.,v
131,131,7112,15353,mach 'aqway,s
132,132,11237,19478,palla na.,v
133,133,1837,10042,akuwan mi,s
134,134,1532,9737,Kirunchikta qa,s
135,135,14620,22861,kuchuykukuspa qa,adj.
136,136,13586,21827,Apu,s
137,137,3823,12045,taqllakun ku.,v
138,138,8494,16735,tawa,det.
139,139,8855,17096,Allqu qa,s
140,140,15352,23593,sapa,adv.
141,141,9715,17956,rura nchik.,v
142,142,8434,16675,maña r ikuna.,s
143,143,12938,21179,way,adj.
144,144,7647,15888,hill p 'uyku y.,v
145,145,3590,11810,sipasllaraq mi.,adj.
146,146,7308,15549,ukhunchi kta,s
147,147,4007,12230,uruta,s
148,148,15176,23417,k 'urpata pas,s
149,149,7026,15267,allpa manta,s
150,150,1544,9749,mikurqanki chu?,v
151,151,14778,23019,runtun pi,s
152,152,11642,19883,Muña,s
153,153,14331,22572,suyu cha,s
154,154,6957,15198,Allin,adj.
155,155,13023,21264,"mirachin,",v
156,156,5024,13250,"awasaq mi,",v
157,157,11651,19892,tayta,s
158,158,5178,13410,waka,s
159,159,2998,11214,punchaw mi,s
160,160,3341,11560,pa pata,s
161,161,9909,18150,lawata,s
162,162,12417,20658,Pisi,adv.
163,163,9289,17530,wasinta pas,s
164,164,4508,12731,wasi cha chkan ku.,v
165,165,14448,22689,q 'apisqa,adj.
166,166,1185,9382,illa,s
167,167,10662,18903,pich qa,det.
168,168,6338,14579,urin.,v
169,169,11948,20189,kay,det.
170,170,3496,11716,¡Sinq anta,s
171,171,13954,22195,puka,adj.
172,172,11921,20162,nak 'aspa,v
173,173,9830,18071,pa chapi qa,s
174,174,262,8452,Apachita man,s
175,175,143,8329,yarupasqam.,v
176,176,9051,13942,Ñuqa qa,pron.
177,177,1130,9324,chakiykita,s
178,178,9484,17725,Hayaqi nchik,s
179,179,15353,23594,qanchis,adj.
180,180,2450,10662,Paqarin,s
181,181,15372,23613,P 'isaq,s
182,182,13690,21931,"sansachiq ku,",adj.
183,183,7271,15512,Wawa kuna qa,s
184,184,9923,18164,yanqalla manta,adv.
185,185,12170,20411,ñawin chay,v
186,186,6170,14411,chiri,s
187,187,2708,10923,Llam p ullam,adj.
188,188,3881,12103,tintin pa,s
189,189,15513,23754,suli s,s
190,190,9564,17805,wata yuq,s
191,191,5764,14005,Ch 'akiy mi,s
192,192,5253,13485,allqu,s
193,193,13111,21352,pata,s
194,194,4283,12506,sipuyanñam.,v
195,195,14716,22957,hak 'ulla,loc.
196,196,3802,12024,¡Tantata,s
197,197,11380,19621,llamk 'arqan ku.,v
198,198,15209,23450,cha chakuma,s
199,199,7706,15947,"akan pas,",v
200,200,7046,15287,puka,adj.
201,201,1470,9675,tiqti qa,s
202,202,5509,13746,allpa qa,s
203,203,7676,15917,rutuchkas qa …,v
204,204,12037,20278,k 'aspi qa,s
205,205,1182,9379,yapam anta,adv.
206,206,3620,11840,waraytam,s
207,207,10322,18563,llimp 'irqu y.,v
208,208,2618,10833,kachkan.,v
209,209,943,9137,uchku y.,v
210,210,3752,11973,¡Chaylla pi,adv.
211,211,3165,11381,kachkan.,v
212,212,3008,11224,¡Mankata,s
213,213,2411,10622,Rumi,s
214,214,8387,16628,runa kuna qa,s
215,215,12722,20963,Huk,adj.
216,216,2338,10547,qanra cha chkan chik,s
217,217,625,8819,rutuq mi,s
218,218,13468,21709,phatan man.,v
219,219,4457,12680,Taruka pa,s
220,220,12221,20462,nispa.,v
221,221,14528,22769,anta manta ña,adj.
222,222,13642,21883,runa kuna,s
223,223,12640,20881,papa,s
224,224,9260,17501,khipu spa,v
225,225,9984,18225,paraptin pas,v
226,226,15293,23534,killapim,s
227,227,1275,9472,hawa pi.,adv.
228,228,2549,10764,qaramuwananta,v
229,229,14414,22655,sanawrita pas,s
230,230,5232,13464,mikhu llan chik.,v
231,231,14443,22684,q 'apikuwaq »,v
232,232,1898,10104,tayta chata hina ña,s
233,233,6659,14900,pa chapi qa,s
234,234,4539,12762,yacha nku,v
235,235,12347,20588,ka llant aqmi.,v
236,236,4018,12241,Kunan,adv.
237,237,3317,11535,chakra qa,s
238,238,9030,17271,kawsa nchik.,v
239,239,2533,10748,pasñakunata,s
240,240,3717,11938,yakutam,s
241,241,335,8526,kan?,v
242,242,2700,10915,timputiyamun.,v
243,243,6088,14329,chiri manta,s
244,244,10682,18923,maki,s
245,245,4627,12850,wilkachuqawan mi,s
246,246,12657,20898,ruru,s
247,247,5100,13327,"kasqa ku,",v
248,248,8743,16984,kancha,s
249,249,7618,15859,apukuna man,s
250,250,2334,10543,Ñutu,adj.
251,251,6199,14440,kapusqa.,v
252,252,11020,19261,ma sach akun.,v
253,253,1710,9915,lliw qata,s
254,254,7459,15700,phiñakuq,adj.
255,255,13343,21584,phichusqa qa,s
256,256,12302,20543,Chay raykum,conj.
257,257,9425,17666,mana,adv.
258,258,4565,12788,kuyuchi spa llam,v
259,259,15206,23447,chaya much kaptin si,v
260,260,14501,22742,"wayk 'unku,",v
261,261,999,9193,kachukusun.,v
262,262,3830,12052,nanan.,v
263,263,10851,19092,atipaq,v
264,264,8088,16329,wata na,s
265,265,9339,17580,"aparqun,",v
266,266,12402,20643,kinuwa,s
267,267,4261,12484,Puka,adj.
268,268,1442,9647,allarqu y.,v
269,269,1110,9304,Mula pa,s
270,270,4536,12759,Achka,adj.
271,271,13406,21647,Achka,adj.
272,272,11816,20057,rinrinta ri?,s
273,273,3465,11685,rutunqa ku.,v
274,274,12247,20488,lawa chaqa,s
275,275,6818,15059,kuti,s
276,276,3160,11376,siqay.,v
277,277,8585,16826,chukchan qa,s
278,278,10664,18905,chay rayku taq,conj.
279,279,7167,15408,"taytá y,",s
280,280,4394,12617,Pusullu,s
281,281,4774,12998,Llapa,adj.
282,282,6439,14680,chayamullanqapunim,v
283,283,4806,13030,mamanchi kta,s
284,284,1794,9999,llaqllayku y.,v
285,285,3299,11517,quyllur hinam,s
286,286,955,9149,Chuya,adj.
287,287,2356,10565,Pakis qa,adj.
288,288,3041,11257,wiñan mi.,v
289,289,3016,11232,kiru si niwan,s
290,290,15489,23730,qhuru,adj.
291,291,10594,18835,qaqa,s
292,292,14045,22286,nispa.,v
293,293,13708,21949,pinkullu kunata,s
294,294,4715,12938,wakchakunatam,adj.
295,295,3231,11448,Rumi pi,s
296,296,451,8644,awqan mi.,v
297,297,10072,18313,sunqu,s
298,298,6291,14532,Tayta chan chik,s
299,299,13588,21829,pichitankata qa,s
300,300,4871,13095,yuma r qunku.,v
301,301,14380,22621,Walter,s
302,302,30,27346,Ñuqa taq,pron.
303,303,3049,11265,ma chan.,v
304,304,7448,15689,hawi r quku y.,v
305,305,4529,12752,aysakachanam,v
306,306,11895,20136,"qallarin,",v
307,307,14751,22992,achka,adj.
308,308,2742,10957,Wawa pa,s
309,309,14043,22284,« q 'iyam,s
310,310,4821,13045,allinta,adj.
311,311,6029,14270,ch 'irwarqus pa,v
312,312,2344,10553,¡Llump aytam,adj.
313,313,15294,23535,K 'ana,s
314,314,4378,12601,mikukun.,v
315,315,8139,16380,ichhu manta pas,s
316,316,3402,11621,Wawa chaku na,s
317,317,15408,23649,allin chu,adv.
318,318,3963,12186,Uywa pa,s
319,319,5573,13814,q 'ipin.,v
320,320,4207,12430,uru,s
321,321,14598,18403,Ñuqanchik qa,pron.
322,322,2820,11036,kapka chu.,adj.
323,323,7769,16010,wawa kunata qa,s
324,324,3625,11845,sisanta,s
325,325,2085,10292,Amahina,s
326,326,92,8278,Ama,adv.
327,327,5538,13777,irqi cha kuna qa,s
328,328,13719,21960,tusun.,v
329,329,1605,9810,yachachisqa yki.,v
330,330,4561,12784,wara wan,s
331,331,15050,23291,Chay,adj.
332,332,9950,18191,hampi wan chik.,v
333,333,13071,21312,yapam anta,adv.
334,334,3770,11991,sutin qa,s
335,335,13265,21506,Llaqta,s
336,336,8265,16506,mantikilla,s
337,337,10185,18426,llaqwa kuspa,v
338,338,15421,23662,phawaq si,adv.
339,339,4781,13005,ya chan.,v
340,340,9714,14612,Ñuqa qa,pron.
341,341,13643,21884,wañuq ninchi kta,adj.
342,342,8385,16626,Pisi,det.
343,343,8586,16827,k 'upa.,adj.
344,344,4773,12997,hamun ku.,v
345,345,1490,9695,rur achkani.,v
346,346,2111,10318,Punchuy pa,s
347,347,10183,18424,alliya chin.,v
348,348,2195,10402,muntirantam,s
349,349,14232,22473,ña,adv.
350,350,9052,17293,"kikillan mi,",s
351,351,7531,15772,sara,s
352,352,13444,21685,"Tito,",s
353,353,6728,14969,Wawa qa,s
354,354,5500,13737,aqsuyuq mi,s
355,355,3984,12207,wasi man,s
356,356,10399,18640,nispa.,v
357,357,345,8536,kawsaynin,s
358,358,7385,15626,maqan ayku kunku.,v
359,359,7993,16234,rutun chik.,v
360,360,3204,11420,qawasqam,s
361,361,11228,19469,Uwihata,s
362,362,11521,19762,wiñapu paq,s
363,363,9951,18192,Liqi,s
364,364,10828,19069,pisi r quspa qa,v
365,365,5941,14182,tarpusqanchik qa,v
366,366,13849,22090,p 'itispa,adv.
367,367,13208,21449,chayta qa,adv.
368,368,14972,23213,chay,adj.
369,369,9364,17605,wawa,s
370,370,10266,18507,Ñawi,s
371,371,867,9061,qallaykamun.,v
372,372,15031,23272,Chay,adj.
373,373,11270,19511,mill akun.,v
374,374,11890,20131,kanman?,v
375,375,14435,22676,karu manta raq,adj.
376,376,5628,13869,yachay sapa taq,adj.
377,377,7179,15420,aswan,adv.
378,378,9003,17244,añas qa,s
379,379,2557,10772,Wak,adj.
380,380,5068,13295,Tayta,s
381,381,4705,12928,Uywa pa,s
382,382,9683,17924,tukukuq,adj.
383,383,15054,23295,qatayku y.,v
384,384,10318,18559,"puka wan,",s
385,385,7406,15647,killa,s
386,386,10765,19006,Tayta,s
387,387,6065,14306,qhari,s
388,388,7396,15637,k 'ullun taq,s
389,389,8863,17104,suwata,s
390,390,13627,21868,ayun aspi,s
391,391,6853,15094,hap 'in.,v
392,392,13640,21881,kill apiqa,s
393,393,8686,16927,Sapan,det.
394,394,8429,13559,¿imalla manta taq,pron.
395,395,7320,15561,Ukhu nchik,s
396,396,12612,20853,llaqta,s
397,397,2019,10226,manam,adv.
398,398,13556,21797,ima,adj.
399,399,13005,21246,chunka,adj.
400,400,10787,19028,kutichipusqa yki!,v
401,401,12013,20254,Wayra manta,s
402,402,773,8967,Sara,s
403,403,15057,23298,Runata taq,s
404,404,108,8294,akchiwan mi,s
405,405,7000,15241,Jesu cristo qa,s
406,406,7714,15955,puqusqawan si,s
407,407,9487,17728,kama yuq,s
408,408,267,8457,Wak,det.
409,409,9371,17612,Pa qucha qa,s
410,410,7723,15964,akasqan,v
411,411,13537,21778,tiya na,s
412,412,8597,16838,K 'usi,s
413,413,9217,17458,mikhuyta,v
414,414,5794,14035,kusikuy ña,s
415,415,2659,10874,¡Puchkata,s
416,416,14137,22378,punkinan kama,adj.
417,417,13783,22024,pisillam,adv.
418,418,9776,18017,ancha,adv.
419,419,15415,18610,chaytam,pron.
420,420,8869,17110,Chay,det.
421,421,6630,14871,chhapchirqamu y.,v
422,422,4901,13125,Ilaqta kuna pi.,s
423,423,12678,20919,wayq 'ukuna pipas,s
424,424,7884,16125,"Wawa kuna,",s
425,425,1321,9518,pakirqukus qa.,v
426,426,13622,21863,qurata qa,s
427,427,3644,11864,tarpurqun.,v
428,428,994,9188,hanlakunta qa,s
429,429,71,8257,uchu chata,s
430,430,8749,16990,wanuwan mi,s
431,431,6469,14710,maqaq si.,v
432,432,11598,19839,Chay,det.
433,433,10241,18482,urma spa,v
434,434,4359,12582,sintachi na,s
435,435,7476,15717,all ayta,s
436,436,425,8617,atiy,v
437,437,1092,9286,mikuy qa,s
438,438,14810,23051,lasti ku,s
439,439,4695,12918,Michka,s
440,440,6114,14355,kawa lluta qa,s
441,441,1748,9953,Iluqsiyta,v
442,442,9877,18118,"puriy kachan achu,",v
443,443,4799,13023,aqachata,s
444,444,11467,19708,mitk 'aspa,v
445,445,3498,11718,ama,adv.
446,446,11527,19768,muchi,s
447,447,4685,12908,sutumuyta,v
448,448,2614,10829,Wak,adj.
449,449,14249,22490,ña,adv.
450,450,8812,17053,qañiwata pas,s
451,451,5506,13743,aqsuta,s
452,452,264,8454,puriq kuna,s
453,453,7322,15563,sill un chik wan,s
454,454,5839,14080,Ch 'aquqa,s
455,455,10366,18607,kan,v
456,456,13968,22209,Ñawpaq qa,adj.
457,457,14011,22252,yupaycha na,s
458,458,4877,13101,yu maynin,s
459,459,13246,21487,unuqa,s
460,460,6548,14789,wawa qa,s
461,461,7551,15792,hayt 'ana,s
462,462,4888,13112,Kimsa,num
463,463,6648,14889,pa chapi qa,s
464,464,10373,18614,nispa.,v
465,465,5965,14206,kawsan.,v
466,466,6070,14311,huk,det.
467,467,12399,20640,Wirni s,s
468,468,11504,19745,Yaku,s
469,469,13378,21619,kill apiqa,s
470,470,4960,13186,Kursu s,s
471,471,9306,17547,muhuta,s
472,472,13873,22114,kimsa,adj.
473,473,7800,16041,nispa,v
474,474,5711,13952,masi chayki manta qa,s
475,475,5862,14103,ch 'arkita qa,s
476,476,84,8270,tunasta,s
477,477,13437,21678,phuku spa,adj.
478,478,15285,23526,aysay kuwan chik.,v
479,479,148,31121,Paykuna qa,pron.
480,480,14503,22744,kach iyuqta qa,s
481,481,682,8876,mikuyta,s
482,482,3793,12015,karqa.,v
483,483,1135,9329,huch akun chik mi.,v
484,484,9332,17573,kichka yuq,s
485,485,7035,15276,¡Haku chu,v
486,486,8766,17007,cecinakuchun »,v
487,487,11395,19636,chay raykum,conj.
488,488,9911,18152,Iskuta qa,s
489,489,5641,13882,karqan ku.,v
490,490,5889,14130,ch 'aska,s
491,491,5447,13683,kulli pas,adj.
492,492,5640,13881,kallpa sapa taq,adj.
493,493,8244,16485,wiñan.,v
494,494,6801,15042,atillanchik mi.,v
495,495,5576,13817,chupicha qa,s
496,496,290,8480,kulli pas,adj.
497,497,2092,10299,saksarquspa qa,v
498,498,4700,12923,sunqun pipas,s
499,499,8514,16755,uyam,s
500,500,12319,20560,runa kuna qa,s
501,501,8413,16654,huk,det.
502,502,9849,18090,« Lakawiti,s
503,503,2727,10942,uya.,s
504,504,9330,17571,millay,adj.
505,505,3134,11350,aqata,s
506,506,8431,16672,k 'intukuy qa,s
507,507,8074,16315,ari,adv.
508,508,7567,15808,All quta qa,s
509,509,1550,9755,Tarpuna paq,v
510,510,7786,16027,"kimsa,",s
511,511,1193,9390,Pacha,s
512,512,8375,16616,ichhu,s
513,513,5297,13529,ancha,adj.
514,514,5849,14090,Ch 'aquqa,s
515,515,14445,22686,qhatuq kuna qa,s
516,516,3702,11923,qipispam,v
517,517,9026,17267,uywa kuna pas,s
518,518,369,8560,asinchik mi.,v
519,519,2348,10557,Pa chak,num
520,520,9241,17482,karqan ku.,v
521,521,12641,20882,q 'ipin,adj.
522,522,552,8746,Kuchiykita,s
523,523,7208,15449,ukhu,s
524,524,5842,14083,ch 'un chull ninchik pi,s
525,525,3745,11966,suwan.,v
526,526,5260,13492,amaru,s
527,527,8141,16382,tuqurun,s
528,528,7840,16081,huk,det.
529,529,10056,18297,nispa,v
530,530,5453,13689,rikch 'akuq,adj.
531,531,7392,15633,sunqu,s
532,532,3641,11861,Achkatam,adj.
533,533,2066,10273,mati pi,s
534,534,10892,19133,q 'illay,s
535,535,13209,21450,pulli ra,s
536,536,9650,17891,Chay,det.
537,537,12602,20843,Suwa qa,s
538,538,7971,16212,"tiyan,",v
539,539,6563,14804,ch 'un chull niyuq,s
540,540,7752,15993,mana,adv.
541,541,10834,19075,Map 'a,adj.
542,542,14290,22531,kikin,adj.
543,543,4754,12978,wisqa qa,s
544,544,4840,13064,chakra man,s
545,545,5913,14154,waskhatam,s
546,546,14382,22623,pusawarqan.,v
547,547,12697,20938,qharita,s
548,548,10209,18450,llasaq,adj.
549,549,1339,9538,kall chaypim,v
550,550,4055,12278,mikuna paq.,v
551,551,7372,15613,Hatunkaq,adj.
552,552,2173,10380,rikurirqus qa.,v
553,553,1979,10186,yana p anam.,v
554,554,12148,20389,"papa qa,",s
555,555,14381,22622,yach achiq,s
556,556,2702,10917,pulliranta,s
557,557,176,8362,An acha,s
558,558,8622,16863,misk 'itaraq,adv.
559,559,10932,17290,Kaypa s,pron.
560,560,4298,12521,runa,s
561,561,6767,15008,Ch 'uñuta qa,s
562,562,7601,15842,wasi,s
563,563,12651,20892,wawan kuta,s
564,564,7094,15335,mayllas qa,adj.
565,565,3962,12185,rurasqam.,v
566,566,7442,15683,hawi r quku y.,v
567,567,1706,9911,mikumuni.,v
568,568,6370,14611,kani.,v
569,569,3428,11648,runtu nku.,v
570,570,881,9075,Chuqlluta,s
571,571,4079,12302,ullatu qa,s
572,572,5529,13768,¿hamunki chu?,v
573,573,406,8598,asta nku.,v
574,574,7489,15730,sara,s
575,575,12299,20540,ñutqhunmanta pas,s
576,576,4053,12276,kuta y,v
577,577,5878,14119,kamchayuqta,s
578,578,3035,11251,iskayllañam.,num
579,579,11156,19397,allin,adj.
580,580,11906,20147,kuchun awan,s
581,581,15320,23561,ch 'isin,adv.
582,582,6147,14388,rur asqa qa,v
583,583,8317,16558,hatun,adj.
584,584,4138,12361,uñan,s
585,585,3155,11371,siqay.,v
586,586,8937,17178,"chayan,",v
587,587,13839,22080,pata raspa,adj.
588,588,8261,16502,pisqu.,s
589,589,13231,21472,Chay qa,adv.
590,590,2634,10849,rumi wan,s
591,591,13533,21774,unquy pas,s
592,592,9162,17403,Khallwa,s
593,593,11160,19401,runa kuna qa,s
594,594,12521,20762,ukhu,adj.
595,595,11915,20156,much 'unpi,s
596,596,13580,21821,kimsa,adj.
597,597,14060,22301,wañurqapusqa s.,v
598,598,5611,13852,hap 'ina.,v
599,599,5795,14036,"kaptin pas,",v
600,600,3751,11972,suyapakuni.,v
601,601,8993,17234,pisi,adj.
602,602,12422,20663,kuntur,s
603,603,46,30454,ñuqa taq,pron.
604,604,4015,12238,imay na,adv.
605,605,4980,13206,Ñan,s
606,606,3925,12147,wañuchin anku paq,v
607,607,0,21409,"ñuqa chu,",pron.
608,608,1040,9234,tuta,s
609,609,5865,14106,hank ullata,s
610,610,12236,20477,nin.,v
611,611,2999,11215,Ayakkuchu man,s
612,612,5646,13887,awqan qa.,s
613,613,9615,17856,kay,v
614,614,7851,16092,kancha qa,s
615,615,4169,12392,uqi,adj.
616,616,6639,14880,unquyta qa,s
617,617,10965,19206,wiñan.,v
618,618,15091,23332,Qayna ña,adv.
619,619,2340,10549,pachata!,s
620,620,2585,10800,suqurqu wan.,v
621,621,9143,17384,khakurikun.,v
622,622,2104,10311,millpun.,v
623,623,2784,11000,putka,adj.
624,624,5898,14139,aypan man.,v
625,625,3411,11630,rumi kunata,s
626,626,10600,18841,pisi ya chin.,v
627,627,9402,17643,añasmanta pas,s
628,628,13452,21693,chay mi,adv.
629,629,9912,18153,« q 'atawi »,s
630,630,6761,15002,rimayta puni,s
631,631,11444,19685,mismi s palla puni,v
632,632,6813,15054,phawaq,s
633,633,5322,13554,sumaq,adj.
634,634,299,8489,Sunchu,s
635,635,944,9138,Chusiq,s
636,636,11195,19436,Allqu qa,s
637,637,4662,12885,warmi cham,s
638,638,4085,12308,pikantita,s
639,639,9745,17986,qhipa,adj.
640,640,7837,16078,kancha qa,s
641,641,8565,16806,k 'umuchillaq puni,adj.
642,642,8709,16950,Arikipa,s
643,643,10226,18467,llawsa,adj.
644,644,6578,14819,Chha ku,adj.
645,645,9157,17398,huk,det.
646,646,13299,21540,hap 'irquspa,adv.
647,647,6268,14509,nanay pas,s
648,648,4428,12651,tarikun.,v
649,649,2966,11182,Runa kuna,s
650,650,11666,19907,wa wach ayki qa,s
651,651,13044,21285,yuraq,adj.
652,652,381,8572,Chay,det.
653,653,4578,12801,Ñawpa,adj.
654,654,13291,21532,t 'impuchisqa ku,v
655,655,1545,9750,Kiswarta ña,s
656,656,8004,16245,qasasqa,adj.
657,657,190,8376,amataku y.,v
658,658,3944,12167,quri llam antam.,s
659,659,12664,20905,qiwalla s,s
660,660,10442,18683,hawch 'a,adj.
661,661,14469,22710,Papa,s
662,662,9233,17474,chay,det.
663,663,8268,16509,K 'all anaqa,s
664,664,9127,17368,qamus qa.,v
665,665,7032,15273,chuwa pi,s
666,666,28,27335,Ñuqa taq,pron.
667,667,12686,20927,Ima,adj.
668,668,13110,21351,qhata kuna pi,s
669,669,11836,20077,tariparqun.,v
670,670,163,8349,pakikurqusqam.,v
671,671,279,8469,allpa,s
672,672,12919,21160,hampi.,s
673,673,10191,18432,alliya chin.,v
674,674,11549,19790,muchuy,s
675,675,13852,22093,isqun niyuq,adj.
676,676,9443,17684,kuwahu wan,s
677,677,806,9000,chukchantam,s
678,678,9032,17273,uywa kuna pas,s
679,679,11937,20178,rin?,v
680,680,13711,21952,tusun.,v
681,681,2267,10476,risaq mi!,v
682,682,8665,16906,mana,adv.
683,683,12907,21148,"atinchik,",v
684,684,10457,18698,runa kuna qa,s
685,685,2489,10703,aychatam,s
686,686,9465,17706,qhunan ku.,v
687,687,997,9191,wañu china.,v
688,688,1950,10156,puñurqani.,v
689,689,10096,18337,manka cha kunata pas,s
690,690,7240,15481,akullin.,v
691,691,7759,16000,« muuuu »,interj.
692,692,192,31147,Paykuna qa,pron.
693,693,2747,10962,puqun.,v
694,694,10750,18991,marq 'aripuwa y!,v
695,695,10584,18825,sutiyuq,s
696,696,8717,16958,ch 'akin an paqpa s,v
697,697,4032,12255,tuytun.,v
698,698,10107,18348,Huk 'uchata qa,s
699,699,8110,16351,chakra kunata,s
700,700,9881,18122,manam,adv.
701,701,3566,11786,Misi pa hinam,s
702,702,2854,11070,anka,s
703,703,9656,17897,uhu,s
704,704,3147,11363,qispichiq mi,s
705,705,2905,11121,Mikunanku paq,v
706,706,11864,20105,muyuta wan,s
707,707,10015,18256,hisp 'akun pas,v
708,708,2116,10323,taqsa y,s
709,709,12736,20977,huk,adj.
710,710,12151,20392,kaqtaq,conj.
711,711,3821,12043,Takiqta,s
712,712,8217,16458,tiyaykus qa.,v
713,713,13108,21349,inka kuna qa,s
714,714,12813,21054,Qhini,adj.
715,715,2262,10471,maykama pas,adv.
716,716,7558,15799,puk llaq ku.,v
717,717,11585,19826,aqha paq,s
718,718,4402,12625,allintam,adj.
719,719,10757,18998,p 'unchawninta,s
720,720,6379,14620,p 'unchawninpi qa,s
721,721,3999,12222,watayuqñam.,s
722,722,3271,11489,Qari,s
723,723,11706,19947,mura ya,s
724,724,4322,12545,ruran ku.,v
725,725,9758,17999,Chanin pi,s
726,726,6571,14812,asnu man,s
727,727,2118,10325,haku chik.,v
